Team,Time,Type,Puzzle,Submission,Response
barkcolossus,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
barkcolossus,2020-02-01 10:00:00,unlock,flying-high,,
catfaceemoji,2020-02-01 10:00:00,unlock,art-of-the-dress,,
catfaceemoji,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
catfaceemoji,2020-02-01 10:00:00,unlock,applejacks-game,,
catfaceemoji,2020-02-01 10:00:00,unlock,its-a-long-story,,
catfaceemoji,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
catfaceemoji,2020-02-01 10:00:00,unlock,flying-high,,
djultomega,2020-02-01 10:00:00,unlock,art-of-the-dress,,
djultomega,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
djultomega,2020-02-01 10:00:00,unlock,applejacks-game,,
djultomega,2020-02-01 10:00:00,unlock,its-a-long-story,,
djultomega,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
djultomega,2020-02-01 10:00:00,unlock,flying-high,,
Sparklebutt,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Sparklebutt,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Sparklebutt,2020-02-01 10:00:00,unlock,applejacks-game,,
Sparklebutt,2020-02-01 10:00:00,unlock,its-a-long-story,,
Sparklebutt,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Sparklebutt,2020-02-01 10:00:00,unlock,flying-high,,
vu1gar,2020-02-01 10:00:00,unlock,art-of-the-dress,,
vu1gar,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
vu1gar,2020-02-01 10:00:00,unlock,applejacks-game,,
vu1gar,2020-02-01 10:00:00,unlock,its-a-long-story,,
vu1gar,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
vu1gar,2020-02-01 10:00:00,unlock,flying-high,,
KPaNE,2020-02-01 10:00:00,unlock,art-of-the-dress,,
KPaNE,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
KPaNE,2020-02-01 10:00:00,unlock,applejacks-game,,
KPaNE,2020-02-01 10:00:00,unlock,its-a-long-story,,
KPaNE,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
KPaNE,2020-02-01 10:00:00,unlock,flying-high,,
Yokipi,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Yokipi,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Yokipi,2020-02-01 10:00:00,unlock,applejacks-game,,
Yokipi,2020-02-01 10:00:00,unlock,its-a-long-story,,
Yokipi,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Yokipi,2020-02-01 10:00:00,unlock,flying-high,,
solvingsquad,2020-02-01 10:00:00,unlock,art-of-the-dress,,
solvingsquad,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
solvingsquad,2020-02-01 10:00:00,unlock,applejacks-game,,
solvingsquad,2020-02-01 10:00:00,unlock,its-a-long-story,,
solvingsquad,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
solvingsquad,2020-02-01 10:00:00,unlock,flying-high,,
Aporcelli,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Aporcelli,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Aporcelli,2020-02-01 10:00:00,unlock,applejacks-game,,
Aporcelli,2020-02-01 10:00:00,unlock,its-a-long-story,,
Aporcelli,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Aporcelli,2020-02-01 10:00:00,unlock,flying-high,,
redacted,2020-02-01 10:00:00,unlock,art-of-the-dress,,
redacted,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
redacted,2020-02-01 10:00:00,unlock,applejacks-game,,
redacted,2020-02-01 10:00:00,unlock,its-a-long-story,,
redacted,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
redacted,2020-02-01 10:00:00,unlock,flying-high,,
bobo,2020-02-01 10:00:00,unlock,art-of-the-dress,,
bobo,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
bobo,2020-02-01 10:00:00,unlock,applejacks-game,,
bobo,2020-02-01 10:00:00,unlock,its-a-long-story,,
bobo,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
bobo,2020-02-01 10:00:00,unlock,flying-high,,
ragers,2020-02-01 10:00:00,unlock,art-of-the-dress,,
ragers,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
ragers,2020-02-01 10:00:00,unlock,applejacks-game,,
ragers,2020-02-01 10:00:00,unlock,its-a-long-story,,
ragers,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
ragers,2020-02-01 10:00:00,unlock,flying-high,,
sheldrake,2020-02-01 10:00:00,unlock,art-of-the-dress,,
sheldrake,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
sheldrake,2020-02-01 10:00:00,unlock,applejacks-game,,
sheldrake,2020-02-01 10:00:00,unlock,its-a-long-story,,
sheldrake,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
sheldrake,2020-02-01 10:00:00,unlock,flying-high,,
dirtybayes,2020-02-01 10:00:00,unlock,art-of-the-dress,,
dirtybayes,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
dirtybayes,2020-02-01 10:00:00,unlock,applejacks-game,,
dirtybayes,2020-02-01 10:00:00,unlock,its-a-long-story,,
dirtybayes,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
dirtybayes,2020-02-01 10:00:00,unlock,flying-high,,
chicken,2020-02-01 10:00:00,unlock,art-of-the-dress,,
chicken,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
chicken,2020-02-01 10:00:00,unlock,applejacks-game,,
chicken,2020-02-01 10:00:00,unlock,its-a-long-story,,
chicken,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
chicken,2020-02-01 10:00:00,unlock,flying-high,,
TheSynod,2020-02-01 10:00:00,unlock,art-of-the-dress,,
TheSynod,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
TheSynod,2020-02-01 10:00:00,unlock,applejacks-game,,
TheSynod,2020-02-01 10:00:00,unlock,its-a-long-story,,
TheSynod,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
TheSynod,2020-02-01 10:00:00,unlock,flying-high,,
fireextinguisher,2020-02-01 10:00:00,unlock,art-of-the-dress,,
fireextinguisher,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
fireextinguisher,2020-02-01 10:00:00,unlock,applejacks-game,,
fireextinguisher,2020-02-01 10:00:00,unlock,its-a-long-story,,
fireextinguisher,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
fireextinguisher,2020-02-01 10:00:00,unlock,flying-high,,
daBomb619,2020-02-01 10:00:00,unlock,art-of-the-dress,,
daBomb619,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
daBomb619,2020-02-01 10:00:00,unlock,applejacks-game,,
daBomb619,2020-02-01 10:00:00,unlock,its-a-long-story,,
daBomb619,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
daBomb619,2020-02-01 10:00:00,unlock,flying-high,,
onigame,2020-02-01 10:00:00,unlock,art-of-the-dress,,
onigame,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
onigame,2020-02-01 10:00:00,unlock,applejacks-game,,
onigame,2020-02-01 10:00:00,unlock,its-a-long-story,,
onigame,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
onigame,2020-02-01 10:00:00,unlock,flying-high,,
hfu,2020-02-01 10:00:00,unlock,art-of-the-dress,,
hfu,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
hfu,2020-02-01 10:00:00,unlock,applejacks-game,,
hfu,2020-02-01 10:00:00,unlock,its-a-long-story,,
hfu,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
hfu,2020-02-01 10:00:00,unlock,flying-high,,
bookmark,2020-02-01 10:00:00,unlock,art-of-the-dress,,
bookmark,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
bookmark,2020-02-01 10:00:00,unlock,applejacks-game,,
bookmark,2020-02-01 10:00:00,unlock,its-a-long-story,,
bookmark,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
bookmark,2020-02-01 10:00:00,unlock,flying-high,,
